Código Nacional;Grupo Econômico;media_ano;market_share;hhi_empresa
11;AMERICA NET;62960,5;0,0013;0,0169
11;DATORA;471769,2;0,0097;0,9409000000000001
11;OI;4447726,69;0,091;82,81
11;OUTROS;384662,92;0,0079;0,6241000000000001
11;SURF TELECOM;97798,5;0,002;0,04
11;TELECOM AMERICAS;15838996,72;0,3242;1051,0564
11;TELECOM ITALIA;12004272,35;0,2457;603,6849000000001
11;TELEFONICA;15545363,96;0,3182;1012,5124
12;AMERICA NET;17239,0;0,0042;0,17639999999999997
12;DATORA;44934,0;0,0109;1,1881
12;OI;400261,78;0,0974;94,86760000000001
12;OUTROS;69529,91;0,0169;2,8560999999999996
12;SURF TELECOM;11155,5;0,0027;0,0729
12;TELECOM AMERICAS;1025871,28;0,2498;624,0004
12;TELECOM ITALIA;1048769,73;0,2553;651,7809000000001
12;TELEFONICA;1489812,15;0,3627;1315,5129000000002
13;AMERICA NET;156,0;0,0;0,0
13;DATORA;61637,0;0,0164;2,6896000000000004
13;OI;387538,88;0,1029;105,88410000000002
13;OUTROS;66313,33;0,0176;3,0976000000000004
13;SURF TELECOM;8345,0;0,0022;0,048400000000000006
13;TELECOM AMERICAS;1281667,14;0,3404;1158,7215999999999
13;TELECOM ITALIA;698470,61;0,1855;344,10249999999996
13;TELEFONICA;1260834,07;0,3349;1121,5801
14;ALGAR (CTBC TELECOM);4,25;0,0;0,0
14;AMERICA NET;8378,5;0,0023;0,0529
14;DATORA;27276,0;0,0075;0,5625
14;OI;259929,44;0,0716;51,2656
14;OUTROS;52622,54;0,0145;2,1025
14;SURF TELECOM;5883,5;0,0016;0,0256
14;TELECOM AMERICAS;896870,19;0,2469;609,5961000000001
14;TELECOM ITALIA;646896,62;0,1781;317,1961
14;TELEFONICA;1734569,6;0,4775;2280,0625
15;AMERICA NET;476,0;0,0001;0,0001
15;DATORA;29771,36;0,0093;0,8648999999999998
15;OI;230755,56;0,0719;51,69610000000001
15;OUTROS;31146,06;0,0097;0,9409000000000001
15;SURF TELECOM;4001,5;0,0012;0,014399999999999998
15;TELECOM AMERICAS;1016458,92;0,3168;1003,6224000000002
15;TELECOM ITALIA;416670,01;0,1299;168,74009999999998
15;TELEFONICA;1479395,46;0,4611;2126,1321
16;ALGAR (CTBC TELECOM);2947712,08;0,3802;1445,5203999999999
16;AMERICA NET;229,5;0,0;0,0
16;DATORA;37175,0;0,0048;0,23039999999999997
16;OI;443612,6;0,0572;32,7184
16;OUTROS;52940,51;0,0068;0,4624
16;SURF TELECOM;5978,0;0,0008;0,0064
16;TELECOM AMERICAS;1862751,16;0,2402;576,9603999999999
16;TELECOM ITALIA;1188323,97;0,1533;235,00889999999995
16;TELEFONICA;1214832,77;0,1567;245,54890000000003
17;ALGAR (CTBC TELECOM);52245,94;0,0161;2,5921
17;AMERICA NET;5444,0;0,0017;0,0289
17;DATORA;38402,0;0,0118;1,3924
17;OI;288800,93;0,0891;79,3881
17;OUTROS;44332,7;0,0137;1,8769000000000002
17;SURF TELECOM;6220,0;0,0019;0,0361
17;TELECOM AMERICAS;1112230,41;0,343;1176,4900000000002
17;TELECOM ITALIA;625059,33;0,1928;371,7184
17;TELEFONICA;1069673,17;0,3299;1088,3401000000001
18;AMERICA NET;24220,0;0,0091;0,8281000000000001
18;DATORA;26475,45;0,01;1,0
18;OI;171022,13;0,0644;41,4736
18;OUTROS;49001,6;0,0185;3,4224999999999994
18;SURF TELECOM;5430,0;0,002;0,04
18;TELECOM AMERICAS;588182,19;0,2216;491,06559999999996
18;TELECOM ITALIA;456756,23;0,172;295,84
18;TELEFONICA;1333757,16;0,5024;2524,0575999999996
19;AMERICA NET;10180,5;0,001;0,01
19;DATORA;106305,0;0,01;1,0
19;OI;673583,19;0,0635;40,322500000000005
19;OUTROS;72623,64;0,0068;0,4624
19;SURF TELECOM;16583,5;0,0016;0,0256
19;TELECOM AMERICAS;4121296,37;0,3886;1510,0996
19;TELECOM ITALIA;2603397,41;0,2455;602,7025
19;TELEFONICA;3000522,07;0,2829;800,3240999999999
21;AMERICA NET;1466,0;0,0001;0,0001
21;DATORA;156518,7;0,0082;0,6724000000000001
21;OI;2087001,97;0,1098;120,56039999999999
21;OUTROS;129780,42;0,0068;0,4624
21;SURF TELECOM;55607,0;0,0029;0,0841
21;TELECOM AMERICAS;6246274,14;0,3285;1079,1225000000002
21;TELECOM ITALIA;5958248,04;0,3133;981,5689000000001
21;TELEFONICA;4379856,28;0,2303;530,3809
22;AMERICA NET;222,0;0,0001;0,0001
22;DATORA;9777,9;0,0029;0,0841
22;OI;400828,75;0,1179;139,00410000000002
22;OUTROS;29916,38;0,0088;0,7744000000000001
22;SURF TELECOM;42237,5;0,0124;1,5375999999999999
22;TELECOM AMERICAS;524290,82;0,1542;237,77640000000002
22;TELECOM ITALIA;792151,54;0,2329;542,4241
22;TELEFONICA;1601114,16;0,4708;2216,5263999999997
24;AMERICA NET;2162,0;0,0009;0,0081
24;DATORA;9438,0;0,0039;0,15209999999999999
24;OI;325650,97;0,1341;179,82809999999998
24;OUTROS;51357,74;0,0212;4,4944
24;SURF TELECOM;21871,5;0,009;0,8099999999999999
24;TELECOM AMERICAS;631683,51;0,2602;677,0404
24;TELECOM ITALIA;586827,41;0,2417;584,1889
24;TELEFONICA;798709,06;0,329;1082,41
27;AMERICA NET;1167,0;0,0003;0,0008999999999999999
27;DATORA;1800,0;0,0004;0,0016
27;OI;566104,02;0,1233;152,02890000000002
27;OUTROS;12265,95;0,0027;0,0729
27;SURF TELECOM;5633,0;0,0012;0,014399999999999998
27;TELECOM AMERICAS;1143966,12;0,2492;621,0064000000001
27;TELECOM ITALIA;200476,99;0,0437;19,096900000000005
27;TELEFONICA;2658411,13;0,5792;3354,7264000000005
28;AMERICA NET;2,0;0,0;0,0
28;OI;56361,3;0,07;49,00000000000001
28;OUTROS;4173,93;0,0052;0,2704
28;SURF TELECOM;2463,0;0,0031;0,09609999999999999
28;TELECOM AMERICAS;110850,4;0,1377;189,6129
28;TELECOM ITALIA;32254,29;0,0401;16,080099999999998
28;TELEFONICA;598771,14;0,7439;5533,8721000000005
31;AMERICA NET;3621,0;0,0003;0,0008999999999999999
31;DATORA;135735,0;0,0105;1,1025
31;OI;2225578,79;0,1724;297,2176
31;OUTROS;49752,44;0,0039;0,15209999999999999
31;SURF TELECOM;19121,5;0,0015;0,0225
31;TELECOM AMERICAS;4083837,82;0,3164;1001,0896000000001
31;TELECOM ITALIA;1989589,93;0,1542;237,77640000000002
31;TELEFONICA;4399445,85;0,3409;1162,1281
32;AMERICA NET;7,0;0,0;0,0
32;DATORA;9660,0;0,0035;0,12250000000000001
32;EB FIBRA;26,0;0,0;0,0
32;OI;455368,98;0,1639;268,6321
32;OUTROS;8342,58;0,003;0,09
32;SURF TELECOM;4531,0;0,0016;0,0256
32;TELECOM AMERICAS;436844,57;0,1572;247,11840000000004
32;TELECOM ITALIA;752550,61;0,2709;733,8680999999998
32;TELEFONICA;1110861,97;0,3999;1599,2000999999998
33;AMERICA NET;45,0;0,0;0,0
33;DATORA;9680,0;0,0032;0,1024
33;EB FIBRA;28,0;0,0;0,0
33;OI;697274,82;0,2295;526,7025
33;OUTROS;6470,23;0,0021;0,04409999999999999
33;SURF TELECOM;3233,0;0,0011;0,012100000000000001
33;TELECOM AMERICAS;935590,61;0,3079;948,0241000000001
33;TELECOM ITALIA;229504,76;0,0755;57,0025
33;TELEFONICA;1156676,54;0,3807;1449,3249
