UF;Grupo Econômico;media_ano;market_share;hhi_empresa
AC;DATORA;1365,0;0,0014;0,0196
AC;OI;81042,95;0,0834;69,5556
AC;OUTROS;7110,73;0,0073;0,5329
AC;SURF TELECOM;3571,5;0,0037;0,13690000000000002
AC;TELECOM AMERICAS;394785,92;0,4061;1649,1721
AC;TELECOM ITALIA;122032,72;0,1255;157,5025
AC;TELEFONICA;362336,03;0,3727;1389,0529
AL;AMERICA NET;6,0;0,0;0,0
AL;DATORA;7411,09;0,0018;0,0324
AL;OI;896594,93;0,2189;479,1721
AL;OUTROS;8641,43;0,0021;0,04409999999999999
AL;SURF TELECOM;4106,0;0,001;0,01
AL;TELECOM AMERICAS;882251,63;0,2154;463,9716000000001
AL;TELECOM ITALIA;1015167,34;0,2478;614,0483999999999
AL;TELEFONICA;1282506,36;0,3131;980,3160999999999
AM;AMERICA NET;6,0;0,0;0,0
AM;DATORA;1432,0;0,0003;0,0008999999999999999
AM;OI;582257,12;0,1166;135,9556
AM;OUTROS;13477,7;0,0027;0,0729
AM;SURF TELECOM;6147,5;0,0012;0,014399999999999998
AM;TELECOM AMERICAS;1937749,78;0,3881;1506,2160999999999
AM;TELECOM ITALIA;531727,71;0,1065;113,4225
AM;TELEFONICA;1920206,91;0,3846;1479,1716
AP;AMERICA NET;115,0;0,0001;0,0001
AP;OI;154445,01;0,1491;222,30810000000002
AP;OUTROS;8826,83;0,0085;0,7225
AP;SURF TELECOM;2686,0;0,0026;0,0676
AP;TELECOM AMERICAS;224765,87;0,217;470,89
AP;TELECOM ITALIA;302350,78;0,2919;852,0561
AP;TELEFONICA;342626,15;0,3308;1094,2864
BA;AMERICA NET;1179,0;0,0001;0,0001
BA;DATORA;36844,58;0,0018;0,0324
BA;OI;4289461,64;0,206;424,35999999999996
BA;OUTROS;188290,42;0,009;0,8099999999999999
BA;SURF TELECOM;44743,5;0,0021;0,04409999999999999
BA;TELECOM AMERICAS;6677886,56;0,3208;1029,1263999999999
BA;TELECOM ITALIA;4339276,13;0,2084;434,3056
BA;TELEFONICA;5240777,92;0,2517;633,5288999999999
CE;AMERICA NET;2,0;0,0;0,0
CE;DATORA;36212,2;0,0028;0,0784
CE;OI;3158461,61;0,2464;607,1296
CE;OUTROS;21133,06;0,0016;0,0256
CE;SURF TELECOM;8577,0;0,0007;0,0049
CE;TELECOM AMERICAS;2671088,13;0,2084;434,3056
CE;TELECOM ITALIA;2801420,86;0,2185;477,4225
CE;TELEFONICA;4123272,18;0,3216;1034,2656
DF;AMERICA NET;899,5;0,0002;0,0004
DF;DATORA;61830,0;0,0128;1,6384
DF;OI;500087,32;0,1037;107,5369
DF;OUTROS;19417,53;0,004;0,16
DF;SURF TELECOM;6509,0;0,0013;0,0169
DF;TELECOM AMERICAS;1728376,79;0,3582;1283,0724000000002
DF;TELECOM ITALIA;1268270,66;0,2629;691,1641000000002
DF;TELEFONICA;1239141,78;0,2568;659,4623999999999
ES;AMERICA NET;1169,0;0,0002;0,0004
ES;DATORA;1800,0;0,0003;0,0008999999999999999
ES;OI;622465,32;0,1154;133,17159999999998
ES;OUTROS;16439,88;0,003;0,09
ES;SURF TELECOM;8096,0;0,0015;0,0225
ES;TELECOM AMERICAS;1254816,52;0,2326;541,0276
ES;TELECOM ITALIA;232731,28;0,0431;18,5761
ES;TELEFONICA;3257182,27;0,6038;3645,7444
GO;ALGAR (CTBC TELECOM);48810,58;0,0048;0,23039999999999997
GO;AMERICA NET;354,5;0,0;0,0
GO;DATORA;40648,0;0,004;0,16
GO;OI;1395388,37;0,137;187,69000000000005
GO;OUTROS;18651,59;0,0018;0,0324
GO;SURF TELECOM;7919,0;0,0008;0,0064
GO;TELECOM AMERICAS;3552583,08;0,3488;1216,6144
GO;TELECOM ITALIA;2587711,11;0,254;645,1600000000001
GO;TELEFONICA;2533818,73;0,2488;619,0143999999999
MA;AMERICA NET;5,0;0,0;0,0
MA;DATORA;3469,4;0,0004;0,0016
MA;OI;1880088,56;0,2265;513,0225
MA;OUTROS;30376,99;0,0037;0,13690000000000002
MA;SURF TELECOM;6542,0;0,0008;0,0064
MA;TELECOM AMERICAS;2293589,83;0,2764;763,9695999999999
MA;TELECOM ITALIA;1801349,06;0,217;470,89
MA;TELEFONICA;2284065,98;0,2752;757,3504
MG;ALGAR (CTBC TELECOM);1058149,33;0,0347;12,0409
MG;AMERICA NET;5503,0;0,0002;0,0004
MG;DATORA;206430,0;0,0068;0,4624
MG;EB FIBRA;74,0;0,0;0,0
MG;OI;4725379,35;0,155;240,25
MG;OUTROS;135259,12;0,0044;0,19360000000000002
MG;SURF TELECOM;59450,5;0,002;0,04
MG;TELECOM AMERICAS;7555521,44;0,2479;614,5441000000001
MG;TELECOM ITALIA;4829775,77;0,1585;251,22250000000003
MG;TELEFONICA;11901125,92;0,3905;1524,9025000000001
MS;ALGAR (CTBC TELECOM);15904,49;0,0047;0,2209
MS;AMERICA NET;218,5;0,0001;0,0001
MS;OI;228524,42;0,0674;45,4276
MS;OUTROS;11542,65;0,0034;0,1156
MS;SURF TELECOM;5166,5;0,0015;0,0225
MS;TELECOM AMERICAS;1089166,87;0,3211;1031,0521
MS;TELECOM ITALIA;542395,71;0,1599;255,68009999999995
MS;TELEFONICA;1499395,08;0,442;1953,64
MT;AMERICA NET;443,0;0,0001;0,0001
MT;DATORA;1904,3;0,0004;0,0016
MT;OI;579400,02;0,117;136,89000000000001
MT;OUTROS;16991,15;0,0034;0,1156
MT;SURF TELECOM;6932,0;0,0014;0,0196
MT;TELECOM AMERICAS;1175221,79;0,2374;563,5876
MT;TELECOM ITALIA;966337,05;0,1952;381,03040000000004
MT;TELEFONICA;2203255,13;0,4451;1981,1401
PA;AMERICA NET;43,0;0,0;0,0
PA;DATORA;11565,51;0,0012;0,014399999999999998
PA;OI;1402632,35;0,1438;206,78440000000003
PA;OUTROS;27870,74;0,0029;0,0841
PA;SURF TELECOM;9587,0;0,001;0,01
PA;TELECOM AMERICAS;3063937,76;0,3141;986,5880999999999
PA;TELECOM ITALIA;2046704,04;0,2098;440,1603999999999
PA;TELEFONICA;3193791,02;0,3274;1071,9076
PB;AMERICA NET;20,5;0,0;0,0
PB;DATORA;15188,5;0,0025;0,0625
PB;OI;1606184,17;0,2622;687,4884
PB;OUTROS;12012,51;0,002;0,04
PB;SURF TELECOM;5714,5;0,0009;0,0081
PB;TELECOM AMERICAS;1024351,52;0,1672;279,55839999999995
PB;TELECOM ITALIA;1546729,85;0,2525;637,5625
PB;TELEFONICA;1915439,38;0,3127;977,8128999999999
PE;AMERICA NET;18,0;0,0;0,0
PE;DATORA;34739,4;0,0025;0,0625
PE;OI;3477378,05;0,2504;627,0016
PE;OUTROS;19581,99;0,0014;0,0196
PE;SURF TELECOM;9933,5;0,0007;0,0049
PE;TELECOM AMERICAS;3523699,85;0,2538;644,1444000000001
PE;TELECOM ITALIA;2791341,21;0,201;404,01000000000005
PE;TELEFONICA;4028921,67;0,2902;842,1604000000001
PI;AMERICA NET;8,0;0,0;0,0
PI;DATORA;851,0;0,0002;0,0004
PI;OI;572884,34;0,149;222,01
