;DDD;HHI;analise_mercado_hhi
0;11;2751,6856;altamente concentrado
1;12;2690,4553000000005;altamente concentrado
2;13;2736,1238999999996;altamente concentrado
3;14;3260,8638;altamente concentrado
4;15;3352,011;altamente concentrado
5;16;2536,4561999999996;altamente concentrado
6;17;2721,8630000000003;altamente concentrado
7;18;3357,7273999999998;altamente concentrado
8;19;2954,9467;altamente concentrado
9;21;2712,8517;altamente concentrado
10;22;3138,1272;altamente concentrado
11;24;2528,932;altamente concentrado
12;27;4146,9484;altamente concentrado
13;28;5788,931600000001;altamente concentrado
14;31;2699,4897;altamente concentrado
15;32;2849,0567999999994;altamente concentrado
16;33;2981,2126;altamente concentrado
17;34;2141,2655999999997;moderado
18;35;3285,937;altamente concentrado
19;37;3467,7592000000004;altamente concentrado
20;38;3710,0104;altamente concentrado
21;41;2920,3307;altamente concentrado
22;42;3427,9696000000004;altamente concentrado
23;43;2877,4309999999996;altamente concentrado
24;44;3590,397699999999;altamente concentrado
25;45;3644,0615000000003;altamente concentrado
26;46;3275,5472;altamente concentrado
27;47;2984,0215000000003;altamente concentrado
28;48;2904,2909;altamente concentrado
29;49;2921,8649;altamente concentrado
30;51;2877,6399;altamente concentrado
31;53;2519,7096;altamente concentrado
32;54;3440,7992999999997;altamente concentrado
33;55;3325,9826;altamente concentrado
34;61;2734,7777;altamente concentrado
35;62;2668,4905;altamente concentrado
36;63;3130,2870000000003;altamente concentrado
37;64;2799,1628;altamente concentrado
38;65;3124,4254;altamente concentrado
39;66;3115,0119;altamente concentrado
40;67;3286,1589000000004;altamente concentrado
41;68;3265,9725;altamente concentrado
42;69;3110,5865999999996;altamente concentrado
43;71;2847,5863999999992;altamente concentrado
44;73;2535,2722;altamente concentrado
45;74;2768,5162;altamente concentrado
46;75;2608,6441;altamente concentrado
47;77;2727,7806;altamente concentrado
48;79;3477,2562;altamente concentrado
49;81;2572,8143;altamente concentrado
50;82;2537,5946999999996;altamente concentrado
51;83;2582,5328;altamente concentrado
52;84;2511,2259999999997;altamente concentrado
53;85;2704,1992;altamente concentrado
54;86;2652,8630000000003;altamente concentrado
55;87;2652,3874;altamente concentrado
56;88;2746,4808000000003;altamente concentrado
57;89;2678,9638;altamente concentrado
58;91;2802,7084999999997;altamente concentrado
59;92;3310,4583;altamente concentrado
60;93;4100,639099999999;altamente concentrado
61;94;3278,0839;altamente concentrado
62;95;3576,2837999999992;altamente concentrado
63;96;2640,3307999999997;altamente concentrado
64;97;3235,6756;altamente concentrado
65;98;2578,9542;altamente concentrado
66;99;2603,932;altamente concentrado
