;UF;HHI;analise_mercado_hhi
0;AC;3265,9725;altamente concentrado
1;AL;2537,5946999999996;altamente concentrado
2;AM;3234,8539999999994;altamente concentrado
3;AP;2640,3307999999997;altamente concentrado
4;BA;2522,2074999999995;altamente concentrado
5;CE;2553,2322;altamente concentrado
6;DF;2743,0515000000005;altamente concentrado
7;ES;4338,6335;altamente concentrado
8;GO;2668,908;altamente concentrado
9;MA;2505,3774;altamente concentrado
10;MG;2643,6564000000003;altamente concentrado
11;MS;3286,1589000000004;altamente concentrado
12;MT;3062,785;altamente concentrado
13;PA;2705,549;altamente concentrado
14;PB;2582,5328;altamente concentrado
15;PE;2517,4034;altamente concentrado
16;PI;2653,4242;altamente concentrado
17;PR;3094,1173999999996;altamente concentrado
18;RJ;2634,6313;altamente concentrado
19;RN;2511,2259999999997;altamente concentrado
20;RO;3110,5865999999996;altamente concentrado
21;RR;3576,2837999999992;altamente concentrado
22;RS;2950,1347000000005;altamente concentrado
23;SC;2937,8874;altamente concentrado
24;SE;3477,2562;altamente concentrado
25;SP;2609,2843000000003;altamente concentrado
26;TO;3130,2870000000003;altamente concentrado
