Código Nacional;Grupo Econômico;media_ano;market_share;hhi_empresa
11;DATORA;388445,17;0,0098;0,9603999999999999
11;NEXTEL;111310,98;0,0028;0,0784
11;OI;4455817,11;0,1121;125,66410000000002
11;OUTROS;394658,23;0,0099;0,9801000000000002
11;TELECOM AMERICAS;12083424,75;0,304;924,16
11;TELECOM ITALIA;7874052,31;0,1981;392,4361
11;TELEFONICA;14446428,96;0,3634;1320,5955999999999
12;DATORA;20137,08;0,0058;0,3364
12;NEXTEL;5819,75;0,0017;0,0289
12;OI;380267,67;0,1087;118,15690000000001
12;OUTROS;24832,79;0,0071;0,5041000000000001
12;TELECOM AMERICAS;973371,53;0,2782;773,9524
12;TELECOM ITALIA;994994,96;0,2844;808,8335999999998
12;TELEFONICA;1099715,69;0,3143;987,8449000000002
13;DATORA;15087,42;0,0051;0,26010000000000005
13;NEXTEL;12320,3;0,0042;0,17639999999999997
13;OI;349321,84;0,1187;140,8969
13;OUTROS;30728,43;0,0104;1,0816
13;TELECOM AMERICAS;786564,12;0,2673;714,4928999999998
13;TELECOM ITALIA;591900,69;0,2011;404,4121
13;TELEFONICA;1156993,3;0,3931;1545,2761
14;ALGAR (CTBC TELECOM);3,42;0,0;0,0
14;DATORA;15574,09;0,0047;0,2209
14;NEXTEL;181,13;0,0001;0,0001
14;OI;233479,78;0,0711;50,55209999999999
14;OUTROS;15735,89;0,0048;0,23039999999999997
14;TELECOM AMERICAS;594173,17;0,1811;327,97210000000007
14;TELECOM ITALIA;745553,45;0,2272;516,1984000000001
14;TELEFONICA;1676946,84;0,511;2611,21
15;DATORA;18290,58;0,007;0,49000000000000005
15;NEXTEL;904,76;0,0003;0,0008999999999999999
15;OI;213645,06;0,0814;66,2596
15;OUTROS;10690,12;0,0041;0,16810000000000003
15;TELECOM AMERICAS;565268,1;0,2155;464,4025
15;TELECOM ITALIA;407243,87;0,1552;240,87040000000002
15;TELEFONICA;1407158,77;0,5364;2877,2495999999996
16;ALGAR (CTBC TELECOM);1847107,98;0,3213;1032,3368999999998
16;DATORA;30051,08;0,0052;0,2704
16;NEXTEL;275,04;0,0;0,0
16;OI;392369,03;0,0683;46,6489
16;OUTROS;12420,07;0,0022;0,048400000000000006
16;TELECOM AMERICAS;1735397,74;0,3019;911,4361
16;TELECOM ITALIA;668131,36;0,1162;135,02439999999999
16;TELEFONICA;1062814,91;0,1849;341,8801
17;ALGAR (CTBC TELECOM);56427,52;0,0203;4,1209
17;DATORA;31427,91;0,0113;1,2769
17;NEXTEL;113,06;0,0;0,0
17;OI;260528,73;0,0939;88,17209999999999
17;OUTROS;12487,73;0,0045;0,20249999999999999
17;TELECOM AMERICAS;801826,11;0,2889;834,6320999999999
17;TELECOM ITALIA;633774,34;0,2284;521,6655999999999
17;TELEFONICA;978762,34;0,3527;1243,9729
18;DATORA;13033,42;0,0057;0,3249
18;NEXTEL;70,88;0,0;0,0
18;OI;148775,81;0,0649;42,120099999999994
18;OUTROS;19368,47;0,0084;0,7055999999999999
