;Código Nacional;HHI;analise_mercado_hhi
0;11;3260,7792;altamente concentrado
1;12;3158,6463000000003;altamente concentrado
2;13;3286,1573;altamente concentrado
3;14;4040,76;altamente concentrado
4;15;3920,7442999999994;altamente concentrado
5;16;3078,5213999999996;altamente concentrado
6;17;3209,2244;altamente concentrado
7;18;4048,8583;altamente concentrado
8;19;3404,9715;altamente concentrado
9;21;3316,9076000000005;altamente concentrado
10;22;4043,0163999999995;altamente concentrado
11;24;3417,2432;altamente concentrado
12;27;5767,7981;altamente concentrado
13;28;7316,412699999999;altamente concentrado
14;31;3612,4748;altamente concentrado
15;32;3889,176;altamente concentrado
16;33;4724,842799999999;altamente concentrado
17;34;2652,5887000000002;altamente concentrado
18;35;4594,1029;altamente concentrado
19;37;4746,146299999999;altamente concentrado
20;38;5042,025099999999;altamente concentrado
21;41;3456,4383000000003;altamente concentrado
22;42;4154,0249;altamente concentrado
23;43;3532,5616;altamente concentrado
24;44;4314,099800000001;altamente concentrado
25;45;4283,158200000001;altamente concentrado
26;46;3929,2105999999994;altamente concentrado
27;47;3440,7899;altamente concentrado
28;48;3456,8875000000003;altamente concentrado
29;49;3502,0627999999997;altamente concentrado
30;51;3757,2405999999996;altamente concentrado
31;53;3279,5036;altamente concentrado
32;54;4113,5052;altamente concentrado
33;55;4495,091600000001;altamente concentrado
34;61;3377,8042;altamente concentrado
35;62;3449,7542000000003;altamente concentrado
36;63;4813,105199999999;altamente concentrado
37;64;3628,8453;altamente concentrado
38;65;3950,7455000000004;altamente concentrado
39;66;4144,1442;altamente concentrado
40;67;3895,6440000000002;altamente concentrado
41;68;4213,3825;altamente concentrado
42;69;4491,7232;altamente concentrado
43;71;3523,3277000000003;altamente concentrado
44;73;3315,7738;altamente concentrado
45;74;3740,6422999999995;altamente concentrado
46;75;3234,1218999999996;altamente concentrado
47;77;3702,1;altamente concentrado
48;79;5360,021000000001;altamente concentrado
49;81;3366,7556000000004;altamente concentrado
50;82;3303,3364;altamente concentrado
51;83;3315,9309000000003;altamente concentrado
52;84;3291,1316;altamente concentrado
53;85;3332,64;altamente concentrado
54;86;3534,3986999999997;altamente concentrado
55;87;3314,0827;altamente concentrado
56;88;3365,1168000000002;altamente concentrado
57;89;3559,1600000000003;altamente concentrado
58;91;3429,8171;altamente concentrado
59;92;4221,366399999999;altamente concentrado
60;93;5385,960300000001;altamente concentrado
61;94;4444,4456;altamente concentrado
62;95;3937,6204;altamente concentrado
63;96;3483,4949;altamente concentrado
64;97;4372,6618;altamente concentrado
65;98;3747,7119000000002;altamente concentrado
66;99;3528,9496;altamente concentrado
