;UF;HHI;analise_mercado_hhi
0;AC;4213,3825;altamente concentrado
1;AL;3303,3364;altamente concentrado
2;AM;4101,1026;altamente concentrado
3;AP;3483,4949;altamente concentrado
4;BA;3327,4640000000004;altamente concentrado
5;CE;3291,6486999999997;altamente concentrado
6;DF;3307,8638;altamente concentrado
7;ES;5982,848900000001;altamente concentrado
8;GO;3491,0847999999996;altamente concentrado
9;MA;3610,9166;altamente concentrado
10;MG;3662,8476;altamente concentrado
11;MS;3895,6440000000002;altamente concentrado
12;MT;3995,8428;altamente concentrado
13;PA;3502,5811;altamente concentrado
14;PB;3315,9309000000003;altamente concentrado
15;PE;3335,3415;altamente concentrado
16;PI;3538,2349999999997;altamente concentrado
17;PR;3739,4585999999995;altamente concentrado
18;RJ;3268,0015;altamente concentrado
19;RN;3291,1316;altamente concentrado
20;RO;4491,7232;altamente concentrado
21;RR;3937,6204;altamente concentrado
22;RS;3848,6431;altamente concentrado
23;SC;3449,1134000000006;altamente concentrado
24;SE;5360,021000000001;altamente concentrado
25;SP;3020,6296;altamente concentrado
26;TO;4813,105199999999;altamente concentrado
