;codigo_uf;uf;latitude;longitude;regiao;media_ano;percentual;ano
0;11;RO;-10,83;-63,34;Norte;73255,13;0,74;2023
1;12;AC;-8,77;-70,55;Norte;42571,67;0,43;2023
2;13;AM;-3,47;-65,1;Norte;228856,38;2,3;2023
3;14;RR;1,99;-61,33;Norte;49643,86;0,5;2023
4;15;PA;-3,79;-52,48;Norte;224600,41;2,26;2023
5;16;AP;1,41;-51,77;Norte;43455,25;0,44;2023
6;17;TO;-9,46;-48,26;Norte;60266,02;0,61;2023
7;21;MA;-5,42;-45,44;Nordeste;115672,61;1,16;2023
8;22;PI;-6,6;-42,28;Nordeste;77498,88;0,78;2023
9;23;CE;-5,2;-39,53;Nordeste;301150,23;3,03;2023
10;24;RN;-5,81;-36,59;Nordeste;105032,73;1,06;2023
11;25;PB;-7,28;-36,72;Nordeste;112908,36;1,13;2023
12;26;PE;-8,38;-37,86;Nordeste;287104,74;2,89;2023
13;27;AL;-9,62;-36,82;Nordeste;99599,12;1,0;2023
14;28;SE;-10,57;-37,45;Nordeste;73527,62;0,74;2023
15;29;BA;-13,29;-41,71;Nordeste;324916,81;3,27;2023
16;31;MG;-18,1;-44,38;Sudeste;585578,85;5,89;2023
17;32;ES;-19,19;-40,34;Sudeste;178017,91;1,79;2023
18;33;RJ;-22,25;-42,66;Sudeste;1337681,9;13,44;2023
19;35;SP;-22,19;-48,79;Sudeste;3490319,75;35,08;2023
20;41;PR;-24,89;-51,55;Sul;475355,46;4,78;2023
21;42;SC;-27,45;-50,95;Sul;227845,95;2,29;2023
22;43;RS;-30,17;-53,5;Sul;315302,84;3,17;2023
23;50;MS;-20,51;-54,54;Centro-Oeste;139483,02;1,4;2023
24;51;MT;-12,64;-55,42;Centro-Oeste;133547,5;1,34;2023
25;52;GO;-15,98;-49,86;Centro-Oeste;380659,42;3,83;2023
26;53;DF;-15,83;-47,86;Centro-Oeste;465994,97;4,68;2023
